age_class,EMS,date,var,value
"[10,20)",0,2020-04-22,case_incid,0
"[20,50)",0,2020-04-22,case_incid,9
"[50,65)",0,2020-04-22,case_incid,7
"[50,65)",1,2020-04-22,case_incid,0
"[65, Inf)",0,2020-04-22,case_incid,4
"[65, Inf)",1,2020-04-22,case_incid,5
"[-Inf,5)",0,2020-04-23,case_incid,1
"[5,10)",0,2020-04-23,case_incid,0
"[10,20)",0,2020-04-23,case_incid,2
"[20,50)",0,2020-04-23,case_incid,10
"[50,65)",0,2020-04-23,case_incid,13
"[50,65)",1,2020-04-23,case_incid,0
"[65, Inf)",0,2020-04-23,case_incid,4
"[65, Inf)",1,2020-04-23,case_incid,5
"[-Inf,5)",0,2020-04-24,case_incid,0
"[5,10)",0,2020-04-24,case_incid,0
"[10,20)",0,2020-04-24,case_incid,0
"[20,50)",0,2020-04-24,case_incid,12
"[50,65)",0,2020-04-24,case_incid,3
"[50,65)",1,2020-04-24,case_incid,0
"[65, Inf)",0,2020-04-24,case_incid,1
"[65, Inf)",1,2020-04-24,case_incid,3
"[-Inf,5)",0,2020-04-25,case_incid,0
"[5,10)",0,2020-04-25,case_incid,1
"[10,20)",0,2020-04-25,case_incid,0
"[20,50)",0,2020-04-25,case_incid,6
"[50,65)",0,2020-04-25,case_incid,4
"[50,65)",1,2020-04-25,case_incid,0
"[65, Inf)",0,2020-04-25,case_incid,2
"[65, Inf)",1,2020-04-25,case_incid,3
"[-Inf,5)",0,2020-04-26,case_incid,0
"[5,10)",0,2020-04-26,case_incid,0
"[10,20)",0,2020-04-26,case_incid,0
"[20,50)",0,2020-04-26,case_incid,4
"[50,65)",0,2020-04-26,case_incid,1
"[50,65)",1,2020-04-26,case_incid,0
"[65, Inf)",0,2020-04-26,case_incid,1
"[65, Inf)",1,2020-04-26,case_incid,0
"[-Inf,5)",0,2020-04-27,case_incid,0
"[5,10)",0,2020-04-27,case_incid,0
"[10,20)",0,2020-04-27,case_incid,1
"[20,50)",0,2020-04-27,case_incid,7
"[50,65)",0,2020-04-27,case_incid,4
"[50,65)",1,2020-04-27,case_incid,0
"[65, Inf)",0,2020-04-27,case_incid,1
"[65, Inf)",1,2020-04-27,case_incid,3
"[-Inf,5)",0,2020-04-28,case_incid,0
"[5,10)",0,2020-04-28,case_incid,2
"[10,20)",0,2020-04-28,case_incid,1
"[20,50)",0,2020-04-28,case_incid,5
"[50,65)",0,2020-04-28,case_incid,5
"[50,65)",1,2020-04-28,case_incid,0
"[65, Inf)",0,2020-04-28,case_incid,2
"[65, Inf)",1,2020-04-28,case_incid,5
"[-Inf,5)",0,2020-04-29,case_incid,0
"[5,10)",0,2020-04-29,case_incid,0
"[10,20)",0,2020-04-29,case_incid,1
"[20,50)",0,2020-04-29,case_incid,11
"[50,65)",0,2020-04-29,case_incid,2
"[50,65)",1,2020-04-29,case_incid,1
"[65, Inf)",0,2020-04-29,case_incid,2
"[65, Inf)",1,2020-04-29,case_incid,0
"[-Inf,5)",0,2020-04-30,case_incid,0
"[5,10)",0,2020-04-30,case_incid,0
"[10,20)",0,2020-04-30,case_incid,0
"[20,50)",0,2020-04-30,case_incid,3
"[50,65)",0,2020-04-30,case_incid,1
"[50,65)",1,2020-04-30,case_incid,0
"[65, Inf)",0,2020-04-30,case_incid,4
"[65, Inf)",1,2020-04-30,case_incid,1
"[-Inf,5)",0,2020-05-01,case_incid,0
"[5,10)",0,2020-05-01,case_incid,0
"[10,20)",0,2020-05-01,case_incid,1
"[20,50)",0,2020-05-01,case_incid,8
"[50,65)",0,2020-05-01,case_incid,4
"[50,65)",1,2020-05-01,case_incid,0
"[65, Inf)",0,2020-05-01,case_incid,3
"[65, Inf)",1,2020-05-01,case_incid,1
"[-Inf,5)",0,2020-05-02,case_incid,0
"[5,10)",0,2020-05-02,case_incid,0
"[10,20)",0,2020-05-02,case_incid,0
"[20,50)",0,2020-05-02,case_incid,3
"[50,65)",0,2020-05-02,case_incid,1
"[50,65)",1,2020-05-02,case_incid,0
"[65, Inf)",0,2020-05-02,case_incid,1
"[65, Inf)",1,2020-05-02,case_incid,0
"[-Inf,5)",0,2020-05-03,case_incid,0
"[5,10)",0,2020-05-03,case_incid,0
"[10,20)",0,2020-05-03,case_incid,0
"[20,50)",0,2020-05-03,case_incid,1
"[50,65)",0,2020-05-03,case_incid,4
"[50,65)",1,2020-05-03,case_incid,0
